home,away,home_goals,away_goals,weight
阿根廷,法国,3,3,1.5
法国,摩洛哥,2,0,1.5
克罗地亚,摩洛哥,2,1,1.2
阿根廷,克罗地亚,3,0,1.5
荷兰,阿根廷,2,2,1.5
英格兰,法国,1,2,1.5
巴西,克罗地亚,1,1,1.5
葡萄牙,摩洛哥,0,1,1.5
西班牙,摩洛哥,0,0,1.5
日本,西班牙,2,1,1.3
日本,德国,2,1,1.3
韩国,葡萄牙,2,1,1.3
喀麦隆,巴西,1,0,1.3
突尼斯,法国,1,0,1.3
沙特阿拉伯,阿根廷,2,1,1.3
澳大利亚,丹麦,1,0,1.2
瑞士,葡萄牙,1,6,1.2
英格兰,塞内加尔,3,0,1.2
巴西,韩国,4,1,1.2
荷兰,美国,3,1,1.2
克罗地亚,日本,1,1,1.2
葡萄牙,瑞士,6,1,1.2
德国,西班牙,1,1,1.3
比利时,加拿大,1,0,1.2
乌拉圭,加纳,2,0,1.2
墨西哥,波兰,0,0,1.0
美国,伊朗,1,0,1.2
丹麦,突尼斯,0,0,1.0
波兰,沙特阿拉伯,2,0,1.0
塞内加尔,厄瓜多尔,2,1,1.0
英格兰,伊朗,6,2,1.0
西班牙,哥斯达黎加,7,0,1.0
法国,澳大利亚,4,1,1.0
德国,日本,1,2,1.2
巴西,瑞士,1,0,1.0
葡萄牙,加纳,3,2,1.0
阿根廷,墨西哥,2,0,1.2
荷兰,厄瓜多尔,1,1,1.0
